@relation dataset-weka.filters.unsupervised.attribute.AddValues-C9-L2-weka.filters.unsupervised.attribute.AddValues-C9-L3

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute Tilt {0,1,2,3}
@attribute Swing {0,1,2,3}

@data
1168,'2018/02/14 20:34:01:197',2,-48,-48,1008,32,1,1
1169,'2018/02/14 20:34:01:206',2,-48,-48,1008,0,1,1
1170,'2018/02/14 20:34:01:218',2,0,-48,992,-16,1,1
1171,'2018/02/14 20:34:01:218',2,0,-48,992,16,1,1
1172,'2018/02/14 20:34:01:228',2,0,-48,992,0,1,1
1173,'2018/02/14 20:34:01:228',2,0,-32,1008,16,1,1
1174,'2018/02/14 20:34:01:236',2,0,-32,1008,-16,1,1
1175,'2018/02/14 20:34:01:247',2,0,-32,1008,0,1,1
1176,'2018/02/14 20:34:01:247',2,0,-32,1008,0,1,1
1177,'2018/02/14 20:34:01:257',2,16,-32,1040,32,1,1
1178,'2018/02/14 20:34:01:257',2,16,-32,1040,-32,1,1
1179,'2018/02/14 20:34:01:266',2,16,-32,1040,0,1,1
1180,'2018/02/14 20:34:01:277',2,-16,-16,1056,16,1,1
1181,'2018/02/14 20:34:01:277',2,-16,-16,1056,-16,1,1
1182,'2018/02/14 20:34:01:288',2,-16,-16,1056,0,1,1
1183,'2018/02/14 20:34:01:288',2,0,-32,1056,0,1,1
1184,'2018/02/14 20:34:01:296',2,0,-32,1056,0,1,1
1185,'2018/02/14 20:34:01:307',2,0,-32,1056,0,1,1
1186,'2018/02/14 20:34:01:307',2,0,-32,976,-80,1,1
1187,'2018/02/14 20:34:01:316',2,0,-32,976,80,1,1
1188,'2018/02/14 20:34:01:316',2,0,-32,976,0,1,1
1189,'2018/02/14 20:34:01:326',2,16,-48,1040,64,1,1
1190,'2018/02/14 20:34:01:338',2,16,-48,1040,-64,1,1
1191,'2018/02/14 20:34:01:338',2,16,-48,1040,0,1,1
1192,'2018/02/14 20:34:01:348',2,16,-48,1040,0,1,1
1193,'2018/02/14 20:34:01:348',2,-48,-48,1024,-16,1,1
1194,'2018/02/14 20:34:01:356',2,-48,-48,1024,16,1,1
1195,'2018/02/14 20:34:01:366',2,-48,-48,1024,0,1,1
1196,'2018/02/14 20:34:01:367',2,-48,-48,1024,0,1,1
1197,'2018/02/14 20:34:01:377',2,-48,-48,1024,0,1,1
1198,'2018/02/14 20:34:01:377',2,-48,-48,1024,0,1,1
1199,'2018/02/14 20:34:01:387',2,-48,-64,1024,0,1,1
1200,'2018/02/14 20:34:01:396',2,-48,-64,1024,0,1,1
1201,'2018/02/14 20:34:01:397',2,-48,-64,1024,0,1,1
1202,'2018/02/14 20:34:01:407',2,-64,-64,1024,0,1,1
1203,'2018/02/14 20:34:01:407',2,-64,-64,1024,0,1,1
1204,'2018/02/14 20:34:01:416',2,-64,-64,1024,0,1,1
1205,'2018/02/14 20:34:01:427',2,-64,-64,1024,0,1,1
1206,'2018/02/14 20:34:01:428',2,-16,-48,1024,0,1,1
1207,'2018/02/14 20:34:01:437',2,-16,-48,1024,0,1,1
1208,'2018/02/14 20:34:01:437',2,-16,-48,1024,0,1,1
1209,'2018/02/14 20:34:01:447',2,-48,-64,1024,0,1,1
1210,'2018/02/14 20:34:01:456',2,-48,-64,1024,0,1,1
1211,'2018/02/14 20:34:01:457',2,-48,-64,1024,0,1,1
